StockistCode,StateID,StateName,DistrictName,CityName,CityID,RMName,DGMName
AIOCDW525,4,BIHAR,SUPAUL,SUPAUL,1170,VACANCY,VACANCY
AIOCDW530,4,BIHAR,SAHARSA,SAHARSA,26,VACANCY,VACANCY
AIOCDW569,2,ANDHRA PRADESH,CHITTOOR,TIRUPATI,798,VACANCY,VACANCY
AIOCDW504,18,RAJASTHAN,SIKAR,SIKAR,92,VACANCY,VACANCY
AIOCDW535,19,TAMIL NADU,VELLORE,VELLORE,654,VACANCY,VACANCY
AIOCDW537,20,UTTARAKHAND UP WEST,JALAUN              ,ORAI,302,VACANCY,VACANCY
MHPU200604,7,MARATHWADA,PUNE,PUNE,304,VACANCY,VACANCY
MHPU200605,7,MARATHWADA,PUNE,PUNE,304,VACANCY,VACANCY
AIOCDW524,20,UTTARAKHAND UP WEST,LALITPUR,LALITPUR,743,VACANCY,VACANCY
AIOCDW533,8,GUJARAT,VALSAD,VAPI,65,VACANCY,VACANCY
AIOCDW538,17,Punjab & JHC,JALANDHAR,JALANDHAR,33,VACANCY,VACANCY
AIOCDW572,19,TAMIL NADU,TRICHY (TIRUCHIRAPPALLI) ,TRICHY (TIRUCHIRAPPALLI),1166,VACANCY,VACANCY
AIOCDW514,21,UP EAST,FAIZABAD,FAIZABAD,700,VACANCY,VACANCY
AIOCDW540,6,DELHI,EAST DELHI,EAST DELHI,1560,VACANCY,VACANCY
AIOCDW549,21,UP EAST,FAIZABAD,FAIZABAD,700,VACANCY,VACANCY
AIOCDW558,6,DELHI,EAST DELHI,EAST DELHI,1560,VACANCY,VACANCY
AIOCDW585,11,JHARKHAND,EAST SINGHBHUM,JAMSHEDPUR,2111,VACANCY,VACANCY
AIOCDW586,17,Punjab & JHC,SHIMLA,SHIMLA,517,VACANCY,VACANCY
AIOCDW593,21,UP EAST,FAIZABAD,FAIZABAD,700,VACANCY,VACANCY
MHAM200140,24,VIDARBHA,AMRAVATI,AMRAVATI,1172,VACANCY,VACANCY
AIOCDW493,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW347,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW348,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW608,4,BIHAR,KATIHAR,KATIHAR,17,VACANCY,VACANCY
AIOCDW640,15,MADHYA PRADESH,KATNI,KATNI,211,VACANCY,VACANCY
AIOCDW663,8,GUJARAT,SURENDRANAGAR,DHRANGADHRA,1539,VACANCY,VACANCY
AIOCDW626,17,Punjab & JHC,JAMMU,JAMMU,261,VACANCY,VACANCY
AIOCDW627,20,UTTARAKHAND UP WEST,BHADOHI(SANT RAVIDAS NAGAR),BHADOHI,2190,VACANCY,VACANCY
AIOCDW495,22,WEST BENGAL REST,DAKSHIN DINAJPUR,BALURGHAT,814,VACANCY,VACANCY
AIOCDW605,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW607,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW612,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW614,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW618,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
MHPU200606,7,MARATHWADA,PUNE,PUNE,304,VACANCY,VACANCY
MHPU200608,7,MARATHWADA,PUNE,PUNE,304,VACANCY,VACANCY
MHAM200141,24,VIDARBHA,AMRAVATI,AMRAVATI,1172,VACANCY,VACANCY
AIOCDW644,19,TAMIL NADU,DINDIGUL,DINDIGUL,697,VACANCY,VACANCY
AIOCDW651,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW491,19,TAMIL NADU,TRICHY (TIRUCHIRAPPALLI) ,TRICHY (TIRUCHIRAPPALLI),1166,VACANCY,VACANCY
AIOCDW965,6,DELHI,SOUTH DELHI,SOUTH DELHI,1562,VACANCY,VACANCY
AIOCDW976,6,DELHI,EAST DELHI,EAST DELHI,1560,VACANCY,VACANCY
AIOCDW981,21,UP EAST,FAIZABAD,FAIZABAD,700,VACANCY,VACANCY
AIOCDW982,21,UP EAST,FAIZABAD,FAIZABAD,700,VACANCY,VACANCY
AIOCDW994,14,KARNATAKA,BELGAVI (BELGAUM),GOKAK,348,VACANCY,VACANCY
AIOCDX059,11,JHARKHAND,EAST SINGHBHUM,JAMSHEDPUR,2111,VACANCY,VACANCY
AIOCDX073,20,UTTARAKHAND UP WEST,FARRUKHABAD,KAIMGANJ,725,VACANCY,VACANCY
AIOCDW843,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW856,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW858,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW859,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDW921,4,BIHAR,WEST CHAMPARAN,BETTIAH,72,VACANCY,VACANCY
AIOCDX048,1,TELANGANA,JAGTIAL,JAGTIAL,578,VACANCY,VACANCY
AIOCDX063,16,ODISHA,KORAPUT,JEYPORE,585,VACANCY,VACANCY
AIOCDX151,1,TELANGANA,JAGTIAL,JAGTIAL,578,VACANCY,VACANCY
AIOCDX167,17,Punjab & JHC,LUDHIANA,LUDHIANA,35,VACANCY,VACANCY
AIOCDX168,17,Punjab & JHC,LUDHIANA,LUDHIANA,35,VACANCY,VACANCY
AIOCDX169,17,Punjab & JHC,LUDHIANA,LUDHIANA,35,VACANCY,VACANCY
AIOCDX083,9,HARYANA,KARNAL,KARNAL,7,VACANCY,VACANCY
AIOCDX084,9,HARYANA,KARNAL,KARNAL,7,VACANCY,VACANCY
AIOCDX088,2,ANDHRA PRADESH,NELLORE,NELLORE,247,VACANCY,VACANCY
AIOCDX094,6,DELHI,SOUTH DELHI,SOUTH DELHI,1562,VACANCY,VACANCY
AIOCDX097,6,DELHI,EAST DELHI,EAST DELHI,1560,VACANCY,VACANCY
AIOCDX098,6,DELHI,SOUTH DELHI,SOUTH DELHI,1562,VACANCY,VACANCY
AIOCDX101,9,HARYANA,KARNAL,KARNAL,7,VACANCY,VACANCY
AIOCDX185,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDX197,17,Punjab & JHC,SRI MUKTSAR,SRI MUKTSAR,608,VACANCY,VACANCY
AIOCDX198,17,Punjab & JHC,SRI MUKTSAR,SRI MUKTSAR,608,VACANCY,VACANCY
AIOCDX209,2,ANDHRA PRADESH,NELLORE,NELLORE,247,VACANCY,VACANCY
MHPU200616,7,MARATHWADA,PUNE,PIMPRI-CHINCHWAD,1191,VACANCY,VACANCY
MHPU200617,7,MARATHWADA,PUNE,HAVELI,2362,VACANCY,VACANCY
AIOCDX170,17,Punjab & JHC,LUDHIANA,LUDHIANA,35,VACANCY,VACANCY
